County,Borehole_Name,Latitude,Longitude,Year_Drilled,Depth_m,Operational_Status,Yield,Complementary_Assets,Funder,WRA_Permit_Status,Power_Source,Land_Owner,Revenue_Collection_Status,Tariff,Connected_Households,Households_using_Water_Kiosks
Bahati,Wanyororo B,-0.1564394,36.1118553,2020,235,No,0,Tanks,County Government,Yes,,Community,Yes,2 Per 20 Ltrs,0,0
Bahati,GDC,-0.1751863,36.1105766,2018,,No,0,Fence,GDC,Yes,KPLC,GDC,No,,0,0
Bahati,Wanyororo,-0.1655825,36.1125315,1927,,No,0,Tanks,Community Donation,No,Generator,Community ,Yes,,0,0
Bahati,Matangi Kenda,-0.1743951,36.1343066,1920,,No,0,,Settlers,No,,Community ,No,,200,0
Bahati,Old Bahati public ,-0.1548354,36.1577435,2019,202,No,0,,County Government,Yes,,Community,Yes,,0,0
Bahati,Karaga DCC,-0.1773639,36.1600164,2020,165,No,0,,County Government,Yes,,Community,Yes,,0,0
Bahati,Kabatini Borehole,-0.2149028,36.1661486,2015,120,No,0,Tanks,County Government,Yes,KPLC,Community,Yes,200 per month per household,700,0
Bahati,Johnathan Borehole,-0.2307794,36.1630906,2018,220,Yes,5,Fence Tanks Pump House Bulk Meter ,County Government,Yes,Solar,Community,Yes,200 per household per month,100,200
Bahati,Amos Borehole,-0.2316132,36.1475807,1954,180,Yes,10,Fence Pump House Tanks Bulk Meter ,County Government,Yes,KPLC & Solar,Community,Yes,3sh per 20 ltrs,0,600
Bahati,St. Peter's Nairobi,-0.2404923,36.1385972,2015,100,No,0,,County Government,Yes,KPLC,Community,Yes,,800,0
Bahati,Kiamaina Water,-0.2307489,36.1163831,2015,150,Yes,22,Tanks Bulk Meter ,County Government,Yes,KPLC,Community,Yes,5sh per 20ltrs,0,800
Bahati,Gitawa Borehole,-0.2590439,36.1256247,2016,,Yes,20,Fence Pump House Tanks Bulk Meter ,County Government,Yes,Solar,Community,Yes,,10,400
Bahati,Kagoto,-0.2503073,36.1101133,1940,,Yes,10,Fence Pump House Tanks,County Government,No,KPLC,Community,Yes,2 sh per 20 ltrs,1000,500
Bahati,Muguadhi water Project,-0.2360575,36.1820727,2020,120,Yes,5,Tanks Bulk Meter ,County Government,Yes,Solar,Individual ,Yes,100 per household per month,600,200
Bahati,Wanyororo A,-0.2522999,36.1877484,2019,178,Yes,15,Pump House Tanks Bulk Meter ,County Government,Yes,KPLC & Solar,Community,Yes,800 Households,200,600
Bahati,Menengai Community borehole,-0.2714316,36.2062594,2002,128,No,0,Pump House Tanks,Mengai Group ,No,KPLC,Community,No,,400,0
Bahati,Ndondori,-0.2464266,36.2385801,2021,230,No,0,,County Government,Yes,,Chiefs camp,Yes,,500,0
Bahati,Tabuga Water Project,-0.2620161,36.1801034,1963,,Yes,8,Pump House Tanks Bulk Meter ,Settlers & County Government,Yes,KPLC & Solar,Community,Yes,100 per household per day,200,0
Bahati,Lamnyondeki ,-0.2658604,36.1664836,1997,,Yes,4,Pump House Fence Tanks Bulk Meter ,Settlers & County Government,Yes,KPLC,Community,Yes,,50,200
Kuresoi North,Sweot Water Projector ,-0.4004365,35.6838483,1945,120,Yes,3,Fence Pump House Tanks Bulk Meter ,Community Donation ,Yes,KPLC & Solar,Community ,No,,20,50
Kuresoi North,Sitoito ,-0.3919875,35.5702732,2019,230,Yes,30,Tanks Bulk Meter ,County Government,No,Solar,Community,No,,29,200
Kuresoi North,Segutony',-0.3722775,35.6803087,2020,230,No,0,,County Government,No,Solar,Community,No,,0,300
Kuresoi South,Dendwet dispensary borehole,-0.5043024,35.6976656,2018,172,Yes,20,Tanks Bulk Meter ,Community Donation ,No,Solar,Community ,No,,30,100
Kuresoi South,Kapseger,-0.4999939,35.7143916,1948,82,Yes,3,Bulk Meter  Tanks,Community Donation,No,Solar,Community,No,,50,100
